SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
T3V,93.0,1160,0.000016982437,0.102,,16.67,,,,,,,,.,,,,,,0.68,0.08,,1.19,,,14.45,13.69,3.82,1.55
T4V,94.0,1120,0.000014454398,0.101,,16.84,,,,,,,,.,,,,,,0.35,-0.19,,1.43,,,14.67,14.51,3.90,1.68
T4.5V,94.5,1090,0.000012589254,0.099,,16.99,,,,,,,,.,,,,,,0.2,-0.06,,1.57,,,14.80,14.66,3.93,1.75
T5V,95.0,1050,0.000011220185,0.101,,17.12,,,,,,,,.,,,,,,0.2,-0.08,,1.70,,,15.02,14.90,3.95,1.81
T5.5V,95.5,1010,0.000009120108,0.099,,17.34,,,,,,,,.,,,,,,0.2,-0.10,,1.86,,,15.28,15.18,3.97,1.89
T6V,96.0,960,0.000007585776,0.100,,17.54,,,,,,,,.,,,,,,0.1,-0.03,,2.02,,,15.61,15.54,3.98,1.96
T7V,97.0,840,0.000004265795,0.098,,18.17,,,,,,,,.,,,,,,0.0,0.00,,2.38,,,15.77,16.36,4.01,2.11
T7.5V,97.5,770,0.000002884032,0.095,,18.59,,,,,,,,.,,,,,,0.2,-0.05,,2.59,,,16.51,16.85,4.05,2.19
T8V,98.0,700,0.000001949845,0.095,,19.02,,,,,,,,.,,,,,,0.2,-0.05,,2.79,,,17.24,17.43,4.08,2.26
T8.5V,98.5,610,0.000001174898,0.097,,19.57,,,,,,,,.,,,,,,0.2,,,,,,18.45,,,
T9V,99.0,530,0.000000707946,0.100,,20.12,,,,,,,,.,,,,,,0.1,-0.20,,,,,19.67,18.48,,
T9.5V,99.5,475,,,,,,,,,,,,.,,,,,,,,,,,,19.52,19.32,,
Y0V,100.0,420,0.000000301995,0.104,,,,,,,,,,.,,,,,,,-0.5,,2.4,,,21,,,
Y0.5V,100.5,390,,,,,,,,,,,,.,,,,,,,-0.6,,2.5,,,22,21.5,,
Y1V,101.0,350,,,,,,,,,,,,.,,,,,,,,,2.6,,,23,23,,
Y1.5V,101.5,325,,,,,,,,,,,,.,,,,,,,-0.8,,,,,25,23.5,,
Y2V,102.0,250,,,,26.2,,,,,,,,.,,,,,,,,,3.4,,,28.3,24,,
